-489,199,858,3990,3640,2100
-494,200,862,3290,5040,910
-495,200,869,2730,2450,1260
-495,200,869,2730,840,1330
-505,210,875,3290,840,1330
-502,198,869,560,-3780,-280
-496,197,881,350,-2450,-1960
-500,197,881,-140,-2520,-1540
-500,197,881,-140,-2520,-1540
-499,199,872,1190,-1260,-1050
-494,195,881,4340,2030,-1540
-486,196,877,6930,1120,-980
-485,222,868,8260,3010,-3570
-485,222,858,8260,3010,-3570
-513,203,858,13230,11970,-13370
-510,249,849,12600,11060,-7420
-471,207,849,4340,8820,10920
-490,165,857,4130,10430,9940
-490,165,857,4130,2520,6790
-504,197,849,630,2520,6790
-505,217,858,420,2730,5110
-510,223,869,1820,2170,2660
-501,216,861,2030,-3710,2450
-501,216,861,2030,-3710,2450
-500,204,865,4760,-3290,3080
-505,208,874,8540,70,2310
-502,204,880,7210,-980,2730
-499,201,879,5390,-980,3220
-499,201,874,5390,-980,3220
-500,197,874,2800,-560,3150
-493,193,872,1260,770,3360
-490,194,862,560,2730,3570
-491,199,861,-770,2870,4410
-491,199,861,-770,2870,4410
-500,212,858,910,2660,4900
-507,224,859,2590,2240,4130
-511,218,862,1330,490,3710
-510,226,872,-2660,-980,7210
-510,226,872,-2660,-980,7210
-499,216,875,-2170,350,4200
-497,208,869,770,770,-70
-503,212,870,1470,350,-210
-504,216,871,770,-1330,70
-504,216,871,770,-1330,70
-509,220,875,700,-1680,-140
-501,219,877,910,-980,-210
-492,215,868,1190,350,280
-484,200,858,280,980,1050
-484,200,858,280,980,1050
-490,206,858,840,3640,1680
-503,217,859,1050,3640,1960
-494,215,855,2310,1820,2170
-493,217,852,4270,2660,4480
-493,217,852,4270,2660,4480
-497,228,858,2730,3920,7140
-503,224,859,3010,1330,2590
-507,225,864,3850,-910,1400
-511,227,870,3010,-1750,140
-511,227,870,3010,-1750,140
-504,221,869,910,-2380,-350
-492,216,864,-560,-2870,-420
-479,213,847,-770,-6440,210
-473,217,841,420,-9030,840
-473,217,841,420,-9030,840
-480,219,850,3570,-6440,-350
-486,224,855,7630,-1120,-1750
-478,227,850,4340,-2660,1610
-465,229,832,4340,-2660,1610
-465,229,832,4830,-3850,2520
-459,232,823,5950,-5250,70
-421,220,826,7840,-6440,980
-399,228,795,11760,-7700,4480
-399,248,793,13580,-13300,7140
-434,248,793,13580,-13300,7140
-433,263,789,18060,-19180,6930
-451,261,808,17850,-16660,5600
-458,248,807,17570,-14840,6090
-458,248,807,17920,-16240,5810
-440,233,783,17920,-16240,5810
-431,211,775,16590,-20510,3220
-397,198,770,15470,-26390,2800
-363,197,736,16520,-27440,6790
-368,221,713,16520,-27440,10640
-368,221,713,18620,-23940,10640
-365,239,704,19950,-27930,12250
-340,250,690,21840,-37590,12880
-321,248,698,21700,-46760,13860
-321,237,709,23660,-54040,16590
-311,237,709,23660,-54040,16590
-315,239,726,29820,-58730,20440
-322,240,761,33460,-61180,26740
-311,282,824,39970,-66150,33880
-311,282,824,46480,-65660,35770
-354,343,851,46480,-65660,35770
-372,357,859,47670,-66290,33110
-360,338,903,46830,-75740,26040
-355,332,932,44450,-84490,18200
-337,316,942,44450,-84490,18200
-337,316,942,39480,-83860,11830
-331,276,933,31780,-71260,9450
-256,228,889,21490,-67410,9450
-245,236,893,12670,-67060,5110
-245,236,893,-3150,-69790,-2590
-227,240,943,-3150,-69790,-2590
-133,269,1020,-20790,-68810,-8190
-228,249,1131,-43050,-76510,-8960
-294,208,1232,-73640,-83440,-35700
-294,208,1232,-73640,-88550,-70000
-253,177,1304,-111860,-88550,-70000
-245,203,1331,-135520,-91770,-83860
-256,198,1345,-148050,-95550,-84140
-186,101,1339,-147980,-97440,-81340
-122,162,1297,-147980,-97440,-81340
-122,162,1297,-132230,-89040,-82460
-37,198,1241,-116340,-100590,-73850
27,162,1198,-101640,-108990,-59010
35,125,1203,-73010,-106470,-38010
35,114,1291,-73010,-106470,-38010
16,114,1291,-32340,-98210,-19110
-44,108,1446,3780,-88900,-2940
-174,130,1665,36750,-69720,9800
-409,238,1940,68600,-38080,13300
-409,238,1940,75530,-12810,4060
-692,402,1998,75530,-12810,4060
-716,511,1998,61740,3640,-13930
-1019,654,1998,36050,11760,-280
-1466,732,1998,2940,45780,-43610
-1466,732,1998,2940,45780,-115010
-1209,750,1998,-46340,92820,-115010
-1060,556,1998,-88410,123410,-134750
-915,181,1998,-121310,157080,-136640
-726,-26,1998,-123550,197960,-148750
-726,-26,1998,-123550,197960,-148750
-507,-165,1998,-114660,226590,-141190
-367,-380,1998,-108710,252490,-120260
-241,-536,1998,-94920,274610,-95340
-132,-630,1998,-76930,305480,-54950
-132,-630,1998,-76930,305480,-54950
-38,-595,1998,-56280,342720,-10710
36,-567,1998,-42980,373240,12320
116,-494,1998,-30870,390320,27860
155,-358,1998,-21700,409360,38290
155,-358,1998,-21700,409360,38290
361,-278,1998,-21280,431270,35280
451,-356,1998,-18060,436310,27510
543,-454,1998,-17080,447370,33180
619,-512,1943,-19320,466130,50260
619,-512,1943,-19320,466130,50260
679,-514,1786,-22050,476490,68250
758,-453,1556,-22960,483070,87010
884,-486,1295,-25340,489020,100660
970,-478,1063,-18550,483070,121870
970,-478,1063,-18550,483070,121870
980,-371,858,-5460,477330,141470
991,-223,722,9100,470680,151550
1013,-49,587,24360,469140,152040
1026,113,409,36610,469980,145250
1026,113,409,36610,469980,145250
1118,125,154,44030,473760,139300
1162,65,-90,48160,456470,131250
1277,-49,-316,48230,403970,132020
1224,0,-464,48440,340060,144130
1224,0,-464,48440,340060,144130
1062,-121,-533,49840,294560,166740
866,-147,-573,62790,277130,160160
974,-4,-673,69720,249480,136220
1059,107,-798,56000,212660,123550
1059,107,-798,56000,212660,123550
1178,171,-966,33950,187460,110390
1433,235,-1266,17990,162120,101360
1667,334,-1612,13510,135590,95270
1814,462,-1919,9870,102690,95270
1814,462,-1919,9870,102690,95270
1873,627,-1997,12600,71260,100870
1902,742,-1997,26810,24780,119700
1731,556,-1997,36750,-35490,122500
1628,411,-1997,36750,-35490,122500
1628,411,-1997,50330,-85400,86030
1665,290,-1904,66710,-127120,69790
1346,79,-1590,66570,-164570,95200
1128,-4,-1324,37870,-197260,64330
1128,-95,-1142,4200,-228270,20790
1198,-95,-1142,4200,-228270,20790
1150,-220,-1061,-9100,-249690,-7770
1327,-316,-1075,-18200,-270830,-39060
1471,-269,-1066,-21000,-308980,-53480
1430,-208,-980,-19810,-356160,-53060
1430,-208,-980,-19810,-356160,-53060
1350,-176,-768,-12320,-405230,-50260
1264,-180,-490,-3080,-449610,-44660
1096,-188,-192,9590,-476140,-31500
868,-290,73,9590,-476140,-31500
868,-290,73,37100,-476210,140
761,-295,347,57610,-457520,-4900
680,-213,515,63490,-464520,-28210
651,-266,725,52850,-474880,-13580
651,-266,725,19250,-498960,-27790
829,-248,1132,19250,-498960,-27790
746,-151,1514,6930,-544530,-156100
1159,33,1914,-12320,-595350,-244790
872,-426,1998,-11620,-611940,-180110
30,-553,1998,-11620,-611940,-132720
30,-553,1998,18480,-528290,-132720
-276,-466,1998,26040,-422100,-84980
-722,-436,1998,-4270,-363930,-3570
-1001,-317,1998,-47880,-352310,77980
-1001,168,1998,-47880,-352310,77980
-961,168,1998,-73080,-348040,105700
-854,610,1998,-49490,-353500,129220
-814,884,1998,-6160,-333130,165970
-865,1083,1998,27720,-285460,172410
