-226,-115,979,700,1540,350
-226,-115,979,700,1540,350
-220,-102,964,-700,980,980
-221,-105,960,70,2100,2170
-216,-109,962,1960,3150,3080
-226,-123,955,1750,4410,3990
-226,-123,955,1750,4410,3990
-241,-127,970,210,6230,3780
-233,-117,970,-4690,3710,2100
-229,-112,957,-3920,2870,2380
-228,-125,973,-1960,3150,3220
-226,-124,1002,-3010,-560,350
-226,-124,1002,-6860,-560,350
-242,-84,992,-7070,-3780,-770
-226,-131,934,-7910,-6160,140
-264,-179,972,-6930,-7210,-4200
-234,-166,921,6090,-7910,-10220
-234,-166,921,6090,-7910,-10220
-206,-125,1000,3150,1120,-210
-223,-136,1006,-770,280,2240
-220,-99,999,-140,-1680,1400
-233,-66,990,140,-2800,2240
-228,-72,959,140,-2800,6230
-228,-72,959,3500,-2870,6230
-229,-70,970,350,-1960,8960
-264,-79,932,-1400,-1960,10430
-191,-112,934,4130,-630,15120
-191,-135,974,14000,2240,15820
-275,-135,974,14000,2240,15820
-227,-170,992,12530,1890,12600
-220,-170,961,9800,-630,6370
-257,-96,951,-8400,1050,1330
-230,-160,993,-15890,2520,5040
-230,-160,993,-15890,2520,5040
-215,-180,1007,-3990,840,5250
-232,-170,996,-4550,-770,1470
-240,-130,960,-3150,-1120,-1400
-242,-92,973,-3150,-1120,-1400
-242,-92,973,3710,2380,-1120
-238,-90,1003,3640,3360,1330
-231,-98,983,5810,1540,3500
-230,-103,997,8680,1400,4480
-230,-103,997,10290,0,6020
-211,-115,991,10290,0,6020
-199,-155,1018,11970,490,7420
-210,-176,986,7000,-3990,4760
-179,-208,960,3570,-5600,0
-184,-137,1014,3570,-5600,-4200
-184,-137,1014,6510,-6510,-4200
-210,-115,982,12880,-10080,-980
-230,-114,985,24220,-10360,3010
-199,-43,996,25900,-12040,3430
-232,-120,1019,25900,-12040,3430
-232,-120,1019,14420,-13930,5740
-231,-80,1051,36260,-13370,2240
-196,-2,1136,46200,-16240,490
-186,11,1162,38220,-25410,4970
-186,11,1281,48090,-34370,12180
-242,51,1281,48090,-34370,12180
-216,121,1296,49420,-51030,23800
-229,130,1339,53690,-67130,34440
-214,222,1380,60410,-83790,44100
-214,222,1380,60410,-83790,56350
-243,171,1343,20230,-94220,56350
-303,218,1253,-27370,-86450,62090
-303,288,1422,-28140,-76440,70000
-273,262,1531,-35700,-81480,79030
-273,186,1693,-35700,-81480,79030
-202,186,1693,-31710,-87780,85120
-120,178,1875,-13440,-103460,91700
-95,125,1974,-15960,-133280,101290
5,90,1913,-20930,-171920,107800
5,90,1913,-560,-193060,116410
-6,95,1765,-560,-193060,116410
-35,-29,1739,-7350,-202580,124950
-49,-47,1691,-35280,-205240,124880
-102,-134,1619,-22400,-212030,122640
-102,-134,1619,-22400,-212030,122640
-162,-235,1456,-8400,-221970,116340
-76,-219,1329,8120,-214970,107520
108,-252,1366,9380,-195230,98770
130,-307,1558,9940,-180460,92540
130,-307,1722,9940,-180460,92540
249,-354,1722,5110,-184940,89740
283,-504,1825,12600,-197330,88410
308,-576,1900,12810,-215880,79870
289,-700,1791,15610,-244650,71260
289,-700,1791,13160,-264250,49910
360,-771,1621,13160,-264250,49910
294,-719,1380,7490,-270900,26670
-81,-810,1279,4410,-266420,11060
115,-849,759,56000,-300720,-22120
115,-849,759,56000,-300720,-22120
-121,-596,194,62720,-285320,-71540
-48,-343,32,44870,-226800,-91280
52,-214,-106,18900,-177310,-91770
36,-54,-114,-10570,-130060,-92330
36,-54,-114,-10570,-130060,-92330
47,17,-139,-17990,-101080,-81620
136,138,-228,-3710,-81410,-72170
106,219,-268,3010,-50680,-58030
59,210,-245,-5180,-28420,-34440
59,210,-245,-5180,-28420,-34440
60,230,-374,-12250,-24360,-17220
32,232,-458,-12600,-8050,-10290
-68,339,-457,-9730,3430,-6650
85,365,-525,-11060,3570,4200
85,365,-525,-11060,3570,2940
92,447,-525,-16100,10710,2940
193,439,-536,-7840,19600,10080
189,423,-476,-6160,24990,21070
184,297,-542,-17500,23590,38570
184,297,-542,-17500,23590,38570
139,196,-554,-16730,43890,48090
120,139,-502,-8400,75390,53060
115,86,-352,-6720,111230,58380
149,10,-193,-6230,137900,59990
149,10,-193,-6230,137900,59990
106,97,-22,-7210,150710,63210
147,-168,65,-7980,146930,75880
128,-167,157,-3430,144900,55860
66,-37,273,-21770,146020,37800
66,-37,273,-21770,146020,37800
5,-10,260,-41160,130970,41860
58,-30,290,-40110,132300,47320
26,-22,352,-33460,145810,49770
-11,-84,385,-35770,155190,59920
-11,-84,385,-35770,155190,59920
-11,-84,385,-35770,155190,59920
-241,-322,423,4410,185920,58590
-374,-344,482,25130,208320,47810
-436,-441,570,44940,235620,36050
-436,-441,570,44940,235620,36050
-353,-620,792,66710,277270,12530
-482,-642,1547,78260,319550,-22470
-12,-618,1224,88410,288610,-66080
-12,-618,1873,60200,368340,-92540
-45,-544,1873,60200,368340,-92540
14,-845,1998,49350,346360,-99820
25,-958,1998,35700,269500,-127750
280,-441,1998,199500,194180,-163800
415,-51,1998,199500,194180,-174930
415,-51,1998,275870,138460,-174930
394,299,1998,163240,141400,-170170
307,499,1998,-14700,154210,-137480
218,552,1998,-104510,139930,-78470
66,270,1998,6720,70420,-19670
66,270,1998,6720,70420,-19670
-39,-217,1958,120190,-17080,-7700
-140,-81,1756,72870,-60340,-46480
-189,506,1172,-52360,-62020,-71260
-189,506,1172,-70000,-30660,-48650
-265,639,1398,-70000,-30660,-48650
-280,528,1315,-111090,-29260,-17010
-302,443,1346,-114170,-22260,210
-337,381,1275,-103320,-24990,8120
-367,363,1286,-103320,-24990,12530
-367,363,1286,-70980,-28210,12530
-371,369,1321,-42840,-35770,15960
-375,361,1387,-29190,-38780,12600
-337,421,1527,-14910,-43540,8960
-337,421,1597,-28350,-59570,8120
-283,573,1597,-28350,-59570,8120
-214,644,1583,-52360,-75390,16520
-212,840,1532,-62300,-91070,22610
-221,1002,1448,-52500,-101010,59640
-221,1002,1448,-24570,-110390,97580
-186,830,1373,-24570,-110390,97580
-186,850,1297,-26110,-118370,111790
-216,819,1091,-46060,-129430,133910
-206,783,1052,-21280,-134540,157570
-190,609,950,-21280,-134540,157570
-190,609,950,-9870,-140000,179340
-158,525,877,-7280,-138180,191520
-116,351,850,3430,-136780,207480
-89,198,769,11480,-135310,221410
-72,-35,738,11480,-135310,221410
-72,-35,738,18480,-131180,231700
-62,-216,721,25410,-129990,231910
-94,-376,648,28700,-129850,230510
-98,-532,609,27090,-127400,227290
-98,-532,618,27090,-127400,227290
-113,-656,618,25270,-121170,218050
-131,-736,629,41370,-124670,203210
-124,-847,529,55440,-130900,196140
-201,-1018,494,54880,-125580,192500
-201,-1018,494,54880,-125580,182350
-282,-1142,367,55510,-122220,182350
-298,-1428,-19,44590,-108710,167370
-498,-1990,-917,-30730,-55440,159460
-644,-1998,-484,-110320,54530,68250
-83,-1301,667,-110320,54530,68250
-83,-1301,667,-120330,133210,-154350
354,247,1160,69650,114730,-201670
263,538,743,39340,36190,-142380
29,-944,824,89950,630,-48090
29,-944,-226,89950,630,-48090
102,-781,-226,-35350,-26180,-42280
-53,-727,398,8400,70280,-65590
-168,-649,559,9030,93450,-92120
-48,-568,515,-15400,96390,-111230
-48,-568,515,-15400,96390,-125580
40,-465,750,-9940,119770,-125580
77,-336,1020,41790,126560,-132440
144,-505,1115,81060,107100,-140280
127,-451,1089,72380,88550,-162680
127,-451,1089,72380,88550,-162680
100,-302,1083,62160,87150,-177380
57,-245,1121,48580,87360,-180040
61,-153,1114,28980,83860,-179340
32,-144,1087,27090,75740,-175420
32,-144,1087,27090,75740,-175420
-15,-137,1004,33530,63490,-174440
-65,-61,921,38710,58730,-174230
-100,17,854,36330,63140,-173110
-130,78,826,15400,75110,-167440
-130,78,826,15400,75110,-157640
-160,120,860,-840,89530,-157640
-166,144,938,-14000,99610,-146230
-152,97,1053,-30590,102130,-136360
-130,65,1231,-46620,99540,-132650
-130,65,1231,-46620,99540,-132650
-138,90,1281,-55720,85610,-128240
-162,103,1280,-64540,73430,-122710
-196,153,1249,-69650,67550,-120540
-218,283,1288,-70140,69580,-122710
-218,283,1286,-70140,69580,-122710
-209,461,1286,-65730,68600,-119490
-192,645,1301,-66780,70980,-110810
-202,712,1363,-72380,70700,-94360
-181,752,1441,-65940,65800,-76090
-181,752,1441,-65940,65800,-76090
-171,782,1526,-45220,57820,-56000
-170,729,1609,-28560,45920,-36190
-143,741,1655,-18060,31640,-23590
-128,730,1705,-6090,17500,-11130
-128,730,1705,-6090,17500,-11130
-147,655,1783,3430,4970,3010
-154,584,1904,4970,-9450,16590
-132,557,1979,4200,-28350,26320
