-59,-996,-51,-1890,-2170,2310
-59,-996,-51,-1890,-2170,2310
-58,-998,-54,-1400,-1050,1400
-61,-994,-56,-840,-420,490
-63,-996,-58,-140,-350,-210
-59,-1000,-57,490,-350,-770
-50,-999,-52,910,420,-1050
-42,-998,-48,1260,1260,-840
-40,-1001,-46,1260,1960,-350
-43,-1004,-44,1190,2240,0
-45,-1000,-41,1190,2240,0
-47,-996,-42,980,1820,70
-47,-996,-42,700,980,-70
-45,-997,-44,560,490,-70
-46,-1000,-47,350,350,-210
-44,-1001,-48,560,-140,-350
-40,-1000,-49,350,280,-700
-39,-1000,-50,350,350,-560
-37,-1003,-52,770,140,-210
-37,-1003,-54,840,-70,420
-34,-1001,-53,1050,70,1050
-37,-996,-49,1400,490,1330
-39,-992,-48,1890,980,1540
-40,-990,-47,1960,1330,1330
-42,-990,-47,2030,1750,980
-39,-990,-47,2170,2170,910
-39,-990,-47,2100,2170,840
-39,-992,-44,2380,1820,630
-36,-1000,-39,2310,840,490
-34,-1004,-38,1890,-840,700
-32,-1000,-35,1330,-2380,1680
-34,-998,-32,1330,-2380,1680
-44,-1000,-35,770,-3500,3080
-44,-1000,-35,0,-4410,4130
-55,-999,-40,-140,-5530,3990
-61,-999,-48,0,-6230,3010
-62,-996,-51,420,-5460,1610
